INSTANCE,ALGORITHM,SEED,STATUS,OBJECTIVE,TIME.SEC,ITERATIONS,RELAXATION,OPT.GAP
ORCS-006-02-I-02-01,greedy,2,SUBOPTIMAL,38,0,,,
ORCS-006-02-I-02-01,greedy,3,SUBOPTIMAL,38,0,,,
ORCS-006-02-I-02-01,greedy,5,SUBOPTIMAL,38,0,,,
ORCS-006-02-I-02-01,greedy,7,SUBOPTIMAL,38,0,,,
ORCS-006-02-I-02-01,greedy,11,SUBOPTIMAL,38,0,,,
ORCS-006-02-I-02-01,greedy,13,SUBOPTIMAL,38,0,,,
ORCS-006-02-I-02-01,greedy,17,SUBOPTIMAL,38,0,,,
ORCS-006-02-I-02-01,greedy,19,SUBOPTIMAL,38,0,,,
ORCS-006-02-I-02-01,greedy,23,SUBOPTIMAL,38,0,,,
ORCS-006-02-I-02-01,greedy,29,SUBOPTIMAL,38,0,,,
ORCS-006-02-I-02-02,greedy,2,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-02-02,greedy,3,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-02-02,greedy,5,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-02-02,greedy,7,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-02-02,greedy,11,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-02-02,greedy,13,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-02-02,greedy,17,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-02-02,greedy,19,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-02-02,greedy,23,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-02-02,greedy,29,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-02-03,greedy,2,SUBOPTIMAL,31,0,,,
ORCS-006-02-I-02-03,greedy,3,SUBOPTIMAL,31,0,,,
ORCS-006-02-I-02-03,greedy,5,SUBOPTIMAL,31,0,,,
ORCS-006-02-I-02-03,greedy,7,SUBOPTIMAL,31,0,,,
ORCS-006-02-I-02-03,greedy,11,SUBOPTIMAL,31,0,,,
ORCS-006-02-I-02-03,greedy,13,SUBOPTIMAL,31,0,,,
ORCS-006-02-I-02-03,greedy,17,SUBOPTIMAL,31,0,,,
ORCS-006-02-I-02-03,greedy,19,SUBOPTIMAL,31,0,,,
ORCS-006-02-I-02-03,greedy,23,SUBOPTIMAL,31,0,,,
ORCS-006-02-I-02-03,greedy,29,SUBOPTIMAL,31,0,,,
ORCS-006-02-I-03-01,greedy,2,SUBOPTIMAL,35,0,,,
ORCS-006-02-I-03-01,greedy,3,SUBOPTIMAL,35,0,,,
ORCS-006-02-I-03-01,greedy,5,SUBOPTIMAL,35,0,,,
ORCS-006-02-I-03-01,greedy,7,SUBOPTIMAL,35,0,,,
ORCS-006-02-I-03-01,greedy,11,SUBOPTIMAL,35,0,,,
ORCS-006-02-I-03-01,greedy,13,SUBOPTIMAL,35,0,,,
ORCS-006-02-I-03-01,greedy,17,SUBOPTIMAL,35,0,,,
ORCS-006-02-I-03-01,greedy,19,SUBOPTIMAL,35,0,,,
ORCS-006-02-I-03-01,greedy,23,SUBOPTIMAL,35,0,,,
ORCS-006-02-I-03-01,greedy,29,SUBOPTIMAL,35,0,,,
ORCS-006-02-I-03-02,greedy,2,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-03-02,greedy,3,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-03-02,greedy,5,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-03-02,greedy,7,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-03-02,greedy,11,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-03-02,greedy,13,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-03-02,greedy,17,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-03-02,greedy,19,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-03-02,greedy,23,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-03-02,greedy,29,SUBOPTIMAL,30,0,,,
ORCS-006-02-I-03-03,greedy,2,SUBOPTIMAL,31,0,,,
ORCS-006-02-I-03-03,greedy,3,SUBOPTIMAL,31,0,,,
ORCS-006-02-I-03-03,greedy,5,SUBOPTIMAL,31,0,,,
ORCS-006-02-I-03-03,greedy,7,SUBOPTIMAL,31,0,,,
ORCS-006-02-I-03-03,greedy,11,SUBOPTIMAL,31,0,,,
ORCS-006-02-I-03-03,greedy,13,SUBOPTIMAL,31,0,,,
ORCS-006-02-I-03-03,greedy,17,SUBOPTIMAL,31,0,,,
ORCS-006-02-I-03-03,greedy,19,SUBOPTIMAL,31,0,,,
ORCS-006-02-I-03-03,greedy,23,SUBOPTIMAL,31,0,,,
ORCS-006-02-I-03-03,greedy,29,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-10-01,greedy,2,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-10-01,greedy,3,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-10-01,greedy,5,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-10-01,greedy,7,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-10-01,greedy,11,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-10-01,greedy,13,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-10-01,greedy,17,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-10-01,greedy,19,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-10-01,greedy,23,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-10-01,greedy,29,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-10-02,greedy,2,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-10-02,greedy,3,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-10-02,greedy,5,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-10-02,greedy,7,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-10-02,greedy,11,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-10-02,greedy,13,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-10-02,greedy,17,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-10-02,greedy,19,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-10-02,greedy,23,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-10-02,greedy,29,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-10-03,greedy,2,SUBOPTIMAL,33,0,,,
ORCS-006-02-R-10-03,greedy,3,SUBOPTIMAL,33,0,,,
ORCS-006-02-R-10-03,greedy,5,SUBOPTIMAL,33,0,,,
ORCS-006-02-R-10-03,greedy,7,SUBOPTIMAL,33,0,,,
ORCS-006-02-R-10-03,greedy,11,SUBOPTIMAL,33,0,,,
ORCS-006-02-R-10-03,greedy,13,SUBOPTIMAL,33,0,,,
ORCS-006-02-R-10-03,greedy,17,SUBOPTIMAL,33,0,,,
ORCS-006-02-R-10-03,greedy,19,SUBOPTIMAL,33,0,,,
ORCS-006-02-R-10-03,greedy,23,SUBOPTIMAL,33,0,,,
ORCS-006-02-R-10-03,greedy,29,SUBOPTIMAL,33,0,,,
ORCS-006-02-R-20-01,greedy,2,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-20-01,greedy,3,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-20-01,greedy,5,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-20-01,greedy,7,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-20-01,greedy,11,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-20-01,greedy,13,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-20-01,greedy,17,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-20-01,greedy,19,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-20-01,greedy,23,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-20-01,greedy,29,SUBOPTIMAL,35,0,,,
ORCS-006-02-R-20-02,greedy,2,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-20-02,greedy,3,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-20-02,greedy,5,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-20-02,greedy,7,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-20-02,greedy,11,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-20-02,greedy,13,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-20-02,greedy,17,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-20-02,greedy,19,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-20-02,greedy,23,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-20-02,greedy,29,SUBOPTIMAL,31,0,,,
ORCS-006-02-R-20-03,greedy,2,SUBOPTIMAL,33,0,,,
ORCS-006-02-R-20-03,greedy,3,SUBOPTIMAL,33,0,,,
ORCS-006-02-R-20-03,greedy,5,SUBOPTIMAL,33,0,,,
ORCS-006-02-R-20-03,greedy,7,SUBOPTIMAL,33,0,,,
ORCS-006-02-R-20-03,greedy,11,SUBOPTIMAL,33,0,,,
ORCS-006-02-R-20-03,greedy,13,SUBOPTIMAL,33,0,,,
ORCS-006-02-R-20-03,greedy,17,SUBOPTIMAL,33,0,,,
ORCS-006-02-R-20-03,greedy,19,SUBOPTIMAL,33,0,,,
ORCS-006-02-R-20-03,greedy,23,SUBOPTIMAL,33,0,,,
ORCS-006-02-R-20-03,greedy,29,SUBOPTIMAL,33,0,,,
ORCS-006-02-S-02-01,greedy,2,SUBOPTIMAL,38,0,,,
ORCS-006-02-S-02-01,greedy,3,SUBOPTIMAL,38,0,,,
ORCS-006-02-S-02-01,greedy,5,SUBOPTIMAL,38,0,,,
ORCS-006-02-S-02-01,greedy,7,SUBOPTIMAL,38,0,,,
ORCS-006-02-S-02-01,greedy,11,SUBOPTIMAL,38,0,,,
ORCS-006-02-S-02-01,greedy,13,SUBOPTIMAL,38,0,,,
ORCS-006-02-S-02-01,greedy,17,SUBOPTIMAL,38,0,,,
ORCS-006-02-S-02-01,greedy,19,SUBOPTIMAL,38,0,,,
ORCS-006-02-S-02-01,greedy,23,SUBOPTIMAL,38,0,,,
ORCS-006-02-S-02-01,greedy,29,SUBOPTIMAL,38,0,,,
ORCS-006-02-S-02-02,greedy,2,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-02-02,greedy,3,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-02-02,greedy,5,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-02-02,greedy,7,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-02-02,greedy,11,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-02-02,greedy,13,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-02-02,greedy,17,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-02-02,greedy,19,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-02-02,greedy,23,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-02-02,greedy,29,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-02-03,greedy,2,SUBOPTIMAL,31,0,,,
ORCS-006-02-S-02-03,greedy,3,SUBOPTIMAL,31,0,,,
ORCS-006-02-S-02-03,greedy,5,SUBOPTIMAL,31,0,,,
ORCS-006-02-S-02-03,greedy,7,SUBOPTIMAL,31,0,,,
ORCS-006-02-S-02-03,greedy,11,SUBOPTIMAL,31,0,,,
ORCS-006-02-S-02-03,greedy,13,SUBOPTIMAL,31,0,,,
ORCS-006-02-S-02-03,greedy,17,SUBOPTIMAL,31,0,,,
ORCS-006-02-S-02-03,greedy,19,SUBOPTIMAL,31,0,,,
ORCS-006-02-S-02-03,greedy,23,SUBOPTIMAL,31,0,,,
ORCS-006-02-S-02-03,greedy,29,SUBOPTIMAL,31,0,,,
ORCS-006-02-S-03-01,greedy,2,SUBOPTIMAL,44,0,,,
ORCS-006-02-S-03-01,greedy,3,SUBOPTIMAL,44,0,,,
ORCS-006-02-S-03-01,greedy,5,SUBOPTIMAL,44,0,,,
ORCS-006-02-S-03-01,greedy,7,SUBOPTIMAL,44,0,,,
ORCS-006-02-S-03-01,greedy,11,SUBOPTIMAL,44,0,,,
ORCS-006-02-S-03-01,greedy,13,SUBOPTIMAL,44,0,,,
ORCS-006-02-S-03-01,greedy,17,SUBOPTIMAL,44,0,,,
ORCS-006-02-S-03-01,greedy,19,SUBOPTIMAL,44,0,,,
ORCS-006-02-S-03-01,greedy,23,SUBOPTIMAL,44,0,,,
ORCS-006-02-S-03-01,greedy,29,SUBOPTIMAL,44,0,,,
ORCS-006-02-S-03-02,greedy,2,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-03-02,greedy,3,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-03-02,greedy,5,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-03-02,greedy,7,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-03-02,greedy,11,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-03-02,greedy,13,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-03-02,greedy,17,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-03-02,greedy,19,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-03-02,greedy,23,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-03-02,greedy,29,SUBOPTIMAL,34,0,,,
ORCS-006-02-S-03-03,greedy,2,SUBOPTIMAL,35,0,,,
ORCS-006-02-S-03-03,greedy,3,SUBOPTIMAL,35,0,,,
ORCS-006-02-S-03-03,greedy,5,SUBOPTIMAL,35,0,,,
ORCS-006-02-S-03-03,greedy,7,SUBOPTIMAL,35,0,,,
ORCS-006-02-S-03-03,greedy,11,SUBOPTIMAL,35,0,,,
ORCS-006-02-S-03-03,greedy,13,SUBOPTIMAL,35,0,,,
ORCS-006-02-S-03-03,greedy,17,SUBOPTIMAL,35,0,,,
ORCS-006-02-S-03-03,greedy,19,SUBOPTIMAL,35,0,,,
ORCS-006-02-S-03-03,greedy,23,SUBOPTIMAL,35,0,,,
